abbreviation,full,type
"Ling","Linguistica. Laibach.",reference
"Lit.","Litauisch .",language
"LokDu","Lokativ Dual.",grammar
"LokPl","Lokativ Plural.",grammar
"LokSg","Lokativ Singular.",grammar
"Lo","H. Lommel.",reference
"Lo, Yāst's","H. Lommel, Die Yäst 's des Awesta. Übersetzt und eingeleitet. [Quellen der Religionsgeschichte Bd. 15, Gruppe 6). Göttingen-Leipzig 1927.",reference
"LP","Lingua Posnaniensis. Posen.",reference
"LSAMH 1973","Linguistic Society of America. 481h Annual Meeting Dec. 28-30, 1973, San Diego, California. Meeting Handbook.",reference
"Lüders, PhilInd","H. Lüders, Philologica lndica. Ausgewählte kleine Schriften. Göttingen 1940.",reference
"Lüders, Varuṇa","H. Lüders, VaruQa. Aus dem Nachlaß herausgegeben von L. Alsdorf. 2 Bde., Göttingen 1951, 1959.",reference
"Ludwig","A. Ludwig, Der Rigveda oder die heiligen Hymnen der Brähmana. Zum ersten Male vollständig ins Deutsche übersetzt mit Commentar und Einleitung. 6 Bde., Prag (später auch Leipzig, Wien) 1876-1888.",reference
"M. (°M), m.","Maskulinum.",grammar
"Ma.","Malayalam.",language
"MacK","D. N. MacKenzie, A Concise Pahlavi Dictionary. London 1971.",reference
"Man.","Manichäisch.",language
"Manessy, -as-","J. Manessy, Les substantifs en -as- dans la llk-Sruphitä. Contribution A l'etude de la morphologie vedique. Dakar 1961.",reference
"Manessy-Guitton, Recherches","J. Manessy-Guitton, Recherches sur les derives nominaux a bases sigmatiques en sanscrit et en latin. Dakar 1963.",reference
"M-Br","M. Meier(-Brügger).",reference
"Mbret","Mittelbretonisch.",language
"Mh","M. Mayrhofer.",reference
"Mh, AirN","M. Mayrhofer, Die altiranischen Namen. [IPNB Bd. [). Wien 1979.",reference
"Mh, AKS","M. Mayrhofer, Ausgewählte kleine Schriften. Wiesbaden 1979.",reference
"Mh, IAV","M. Mayrhofer, Die Indo-Arier im Alten Vorderasien. Mit einer analytischen Bibliographie. Wiesbaden 1966.",reference
"Mh, Ll","M. Mayrhofer, Lautlehre (Segmentale Phonologie des Indogermanischen). [Indogermanische Grammatik U2J. Heidelberg 1986.",reference
"Mh, Mythos","M. Mayrhofer, Die Arier im Vorderen Orient - ein Mythos? Mit einem bibliographischen Supplement. [SbÖAW 294,3). Wien 1974.",reference
"Mh, Nach hundert Jahren","M. Mayrbofer, Nach hundert Jahren. Ferdinand de Saussures Frühwerk und seine Rezeption durch die heutige Indogermanistik. [SbAkHeidelberg 1981, 8]. Heidelberg 1981.",reference
"Mh, OnP","M. Mayrhofer, Onomastica Persepolitana. Das altiranische Namengut der Persepolis-Täfelchen. [SbÖAW 286 c: Veröffentlichungen der Iranischen Kommission Bd. 1). Wien 1973.",reference
"Mi.","Mittelindoarisch.",language
"Minard, Trois énigmes","A. Minard, Trois énigmes sur les cent chemins. Recherches sur le Satapatha-BrähmaQa. Bd. I [Annales de l'Universite de Lyon. 3•m• serie, Lettres, Fase. 17], Paris 1949; II [Publications de l'Institut de Civilisation Indienne, Serie in-8°, Fase. 3), Paris 1956.",reference
"Miran.","Mitteliranisch.",language
"MithrSt","Mithraic Studies. Proceedings of the First International Congress of Mithraic Studies. Manchester 1975.",reference
"MK","A. A. Macdonell-A. B. Keith, Vedic Index of Names and Subjects. 2 Bde., London 1912 [Neudruck Delhi usw. 1967].",reference
"MKNA","Mededelingen van de [Koninklijke] Nederlandse Akademie van Wetenschappen, Afdeling Letterkunde, Nieuwe Reeks.",reference
"Mkymr.","Mittelkymrisch.",language
"Mn","Manu-Smrti.",reference
"MO","Le monde oriental. Uppsala.",reference
"Morg","G. Morgenstierne.",reference
"MorglD","G. Morgenstierne, lrano-Dardica. [Beiträge zur Iranistik Bd. SJ. Wiesbaden 1973.",reference
"MorgIIFL","G. Morgenstierne, lndo-lranian Frontier Languages. 6 Bde. [Instittutet for Sammenlignende Kulturforskning, Serie B, XI, XXXV, XL, LVIII]. 2nd edition. Oslo-Bergen-Troms0 1973.",reference
"Morg, Voc.","G. Morgenstieme, An Etymological Vocabulary of Pashto. [Skrifter utgitt av Det Norske Videnskaps-Akademi i Oslo II. Hist.-Filos. Klasse. 1927. No. 3). Oslo 1927.",reference
"Mp.","Mittelpersisch.",language
"MS","Maiträya.Qi-Sarilhitä.",reference
"MSS","Münchener Studien zur Sprachwissenschaft. München.",reference
"Myk.","Mykenisch.",language
"Mylius","K. Mylius, Sanskritischer Index der jungvedischen Namen und Sachen. Erschien in Folgen in den Bänden 17 (1976) bis 19 (1978) der Ethnographisch-archäologischen Zeitschrift (Berlin). Gemeinhin ohne Seitenangabe zitiert, da der Index die Lemmata in der Sanskrit-Reihenfolge bringt.",reference
"N. (°N), n.","Neutrum.",grammar
"Nachtr","Nachträge.",other
"Narten, Aor","J. Narten, Die sigmatischen Aoriste im Veda. Wiesbaden 1964.",reference
"Narten, AS","J. Narten, Die Am:ih Sp:iotas im Avesta. Wiesbaden 1982.",reference
"Nehring, Studien","A. Nehring, Studien zur indogermanischen Kultur und Urheimat. In W. Koppers (ed.), Wiener Beiträge zur Kulturgeschichte und Linguistik IV (1936) = Die lndogermanen- und Germanenfrage (Leipzig-Salzburg 1936) S. 7-229.",reference
"Neisser","W. Neisser, Zum Wörterbuch des J.lgveda. Zwei Hefte. [Abhandlungen für die Kunde des Morgenlandes XVI, 4 und XVIIl, 3). Leipzig 1924, 1930. [Nachdruck Nendeln 1966).",reference
"N.F.","Neue Folge.",other
"Ni.","Neuindoarisch.",language
"NomDu","Nominativ Dual.",grammar
"NomPl","Nominativ Plural.",grammar
"NomSg","Nominativ Singular.",grammar
"Nowcki","H. Nowicki, Die neutralen s-Stämme im indo-iranischen Zweig des Indogermanischen. Phil. Diss. Würzburg 1976.",reference
"Np.","Neupersisch;",language
"N.pr.","Nomen proprium.",other
"NTS","Norsk Tidsskrift for Sprogvidenskap. Oslo.",reference
"Nu., nu.","Nuristan(sprachen), nüristäni.",language
"NÜ","Nebenüberlieferung(en).",other
"Nyb, ManP","H. S. Nyberg, A Manual of Pahlavi. 2 Teile. Wiesbaden 1964, 1974.",reference
"Oett","N. Oettinger, Die Stammbildung des hethitischen Verbums. [Erlanger Beitröge zur Sprach- und Kunstwissenschaft Bd. 64). Nürnberg 1979.",reference
"Old","H. Oldenberg.",reference
"Old, KS","H. Oldenberg, Kleine Schriften. 2 Teile. [Glasenapp-Stiftung Bd. I, 1-2). Wiesbaden 1967.",reference
"Old, Not","H. Oldenberg, llgveda. Textkritische und exegetische Noten. 2 Bde. [GA N.F. XI,5 und Xlß,3). Berlin 1909, 1912. [Nachdruck Nendeln 1970).",reference
"Orbis","Orbis. Bulletin international de documentation linguistique. Löwen.",reference
"Orm.","Ormuri.",language
"Oss.","Ossetisch.",language
"Pā.","Pāli.",language
"Pāṇ","Pāṇini.",language
"PAPhilosS","Proceedings of the American Philosophical Society. Philadelphia.",reference
"Part.","Partizip.",grammar
"PB","Paiicavimsa-Brähmaoa [= Tfu)4ya-Mahä-BrähmaoaJ.",reference
"Perfekt","Perfekt.",grammar
"Pet","M. Peters.",reference
"Petersson, Heterokl","H. Petersson, Zur Kenntnis der indogermanischen Heteroklisie. [Lunds Univ. ArsskriftAvd. l, Bd. 18, No. 7). Lund 1922.",reference
"Pet, Lar","M. Peters, Untersuchungen zur Vertretung der indogermanischen Laryngale im Griechischen. [SbÖA W 377 = Veröffentlichungen der Kommission für Linguistik und Kommunikationsforschung Heft 8]. Wien 1980.",reference
"PhilInd","Actes du x• congres international des linguistes, Teil IV. Bukarest 1970.",reference
"PICL X/4","Proceedings of the 11 th International Congress of Linguists, Bologna-Florenz 1972. 2 Bde. Florenz 1974.",reference
"PICL XI","Proceedings of the 11 th International Congress of Linguists, Bologna-Florenz 1972. 2 Bde. Florenz 1974.",reference
"Pkt.","Prakrit.",language
"PNSAC 1980","Proceedings of the Nordic South Asia Conference held in Helsinki, June 10-12, 1980 [= Studia Orientalia Vol. SO]. Helsinki 1981.",reference
"Pok","J. Pokomy, Indogermanisches etymologisches Wörterbuch. 1. Band. Bern-München 1959.",reference
"Polsky","M. 8. Polsky, Container/Contained. Tue Meaning of Parjanya in the Vedic SDJT1hitäs. Phil. Diss. Princeton 1981.",reference
"PorzigGliederung","W. Porzig, Die Gliederung des indogermanischen Sprachgebiets. Heidelberg 1954.",reference
"PTSDict","The Pali Text Society's Pali-English Dictionary. Ed. by T. W. Rhys Davids and W. Stede. Chipstead, Surrey 1925.",reference
"Puhvel","J. Puhvel, Hittite Etymological Dictionary. Vol. 1-2 (Berlin-New York-Amsterdam 1984) ff.",reference
"Puhvel, Analecta","J. Puhvel, Analecta lndoeuropaea. [IBS Bd. 35].",reference
"PW","O . Böhtlingk-R. Roth, Sanskrit-Wörterbuch, herausgegeben von der Kaiserlichen Akademie der Wissenschaften. [,,(Großes) Petersburger Worterbuchj. 7 Teile. St. Petersburg 1855-1875. [Neudruck Osnabrück-Wiesbaden 1966].",reference
"pw","O. Böhtlingk, Sanskrit-Wörterbuch in kürzerer Fassung. (- PW]. 7 Bde. St. Petersburg 1879-1. [Nachdruck Graz 1959].",reference
"QIG","Quaderni dell'lstituto di Glottologia. Bologna.",reference
"RauMetalle","W. Rau, Metalle und Metallgeräte im vedischen Indien. [AA WL 1973, 8]. Mainz-Wiesbaden 1974.",reference
"RauVedA","W. Rau, Zur vedischen Altertumskunde. [AA WL 1983, l]. Mainz-Wiesbaden 1983.",reference
"REIE","Revue des Etudes lndo-Europeennes. Bukarest, später Tschernowitz.",reference
"'Ρῆμα","'Ρῆμα:. Mitteilungen zur idg., vornehmlich indo-iranischen Wortkunde sowie zur holothetischen Sprachthe~rie. München.",reference
"Renou, EVP","L. Renou, Etudes vediques et päQineennes. Tome 1-XVII. [Publications de l'Institut de Civilisation Indienne, Serie in-8°, Fase. l, 2, 4, 6, 9, 10, 12, 14, 16-18, 20, 22, 23, 26, 27, 30]. Paris 1955-1969.",reference
"Renou, -tu-","L. Renou, Monographies Sanskrites II: Le suffixe -tu- et la constitution des infinitifs. Paris 1937.",reference
"Roth, NirErl","R. Roth, Jäska's Nirukta ... herausgegeben und erläutert. Göttingen 1852 (Nachdruck Darmstadt 1976]. - [2. Teil:] Erläuterungen zum Nirukta.",reference
"RPh","Revue de Philologie, de Litterature et d'Histoire anciennes. Paris.",reference
"RRLing","Revue Roumaine de Linguistique. Bukarest.",reference
"RSO","Rivista degli Studi Orientali. Rom.",reference
"RV","~gveda-Samhitii.",language
"RV-Prāt","~eda-Prätisäkhya.",language
"Sadnik-Aitzetmüller","L. Sadnik-R. Aitzetmilller, Vergleichendes Wdrterbuch der slavischen Sprachen. Band I, A/B. Wiesbaden 1975.",reference
"Saṁh","Saṁhitä.",language
"SbAkBerlin","Sitzungsberichte der [Königl.] Preußischen Akademie der Wissenschaften. Phil.-hist. Klasse. Berlin.",reference
"SbAkHeidelberg","Sitzungsberichte der Heidelberger Akademie der Wissenschaften. Phil.-hist. Klasse. Heidelberg.",reference
"SbÖAW","Sitzungsberichte der Österreichischen Akademie der Wissenschaften. Phil.-hist. Klasse. Wien.",reference
"ŚB","Śatapatha-Brähmana.",language
"Scheft","1. Scheftelowitz.",reference
"Schi","J. Schindler.",reference
"Schi, Wn","J. Schindler, Das Wurzelnomen im Arischen und Griechischen. Phil. Diss. Würzburg 1972 [Teildruck].",reference
"Schlerath","8. Schlerath, Awesta-Wörterbuch, Vorarbeiten I: Index locorum zur Sekundärliteratur des Awesta. Vorarbeiten II: Konkordanz. Wiesbaden 1968.",reference
"Schm","R. Schmitt.",reference
"Schm, Di","R. Schmitt, Dichtung und Dichtersprache in indogermanischer Zeit. Wiesbaden 1967.",reference
"Schmidt, Nasalpr","W. P. Schmid, Untersuchungen zur Stellung der Nasalprösentien im indo-iranlschen Verbalsystem. Diss. Tübingen 1955. [Maschinenschriftl.].",reference
"Schmidt, Br̩l","H.-P. Schmidt, Br̩haspati und lndra. Unter-suchungen zur vedischen Mythologie und Kulturgeschichte. Wiesbaden 1968.",reference
"Schmidt, Nachtr","R. Schmidt, Nachträge zum Sanskrit-Wörterbuch in kürzerer Fassung von Otto Böhtlingk. Leipzig 1928.",reference
"Schmidt, Pers","G. Schmidt, Stammbildung und Aexion der indo-germanischen Personalpronomina. Wiesbaden 1978.",reference
"Schmitt-Brandt","R. Schmitt-Brandt, Die Entwicklung des indoger-manischen Vokalsystems. [W1SSenschaftliche Bibliothek Bd. VII]. Heidelberg 1967, 21973.",reference
"Schrader, KS","F. 0. Schrader, Kleine Schriften. [Glasenapp-Stiftung Bd. 19). Wiesbaden 1983.",reference
"Schulze, KS","W. Schulze, Kleine Schriften. Göttingen 1934. (21966 mit Nachträgen, S. 783-895).",reference
"Schwyzer","E. Schwyzer, Griechische Grammatik. 2 Bde. [Handbuch der Altertumswissenschaft II 1,1-2). München 1939, 1950.",reference
"Seebold","E. Seebold, Vergleichendes und etymologisches Wörterbuch der germanischen starken Verben. (Janua Linguarum Series Practica 85). Den Haag-Paris 1970.",reference
"SelP","Selected Papers.",reference
"SelStud","Selected Studies.",reference
"Sg.","Singular.",language
"Sha","A. Sharma, Beiträge zur vedischen Lexikogra-phie: Neue Wörter in M. Bloomfields Vedic Con-cordance. (~µex 5/6). München 1959/1960.",reference
"SII","Studien zur Indologie und Iranistik. Reinbek.",reference
"SILTA","Studi italiani de linguistica teorica ed applicata. Padua.",reference
"Singh.","Singhalesisch.",language
"Skr.","Sanskrit.",language
"SMEA","Studi Micenei ed Egeo-anatolici. Rom.",reference
"Sommer, Nacht","F. Sommer, Schriften aus dem Nachlaß. [MSS Beih. l, N.F.). München 1977.",reference
"SP","Siimba-Puräon.",language
"Specht, Dekl","F. Specht, Der Ursprung der indogermanischen Deklination. Göttingen 1944.",reference
"Spr","Die Sprache. Zeitschrift für Sprachwissenschaft. Wiesbaden-Wien.",language
"Sprw","Sprachwissenschaft. Heidelberg.",language
"Sprwlnnsbruck","Sprachwissenschaft in Innsbruck. Arbeiten von Mitgliedern und Freunden des Instituts für Sprachwissenschaft der Universität Innsbruck. [IBK Sonderheft SO]. Innsbruck 1982.",reference
"ŚrSū","Śrauta-Sūtra.",language
"SSL","Studi e saggi linguistici. Supplemento alla rivista ,,L'ltalia dialettale“. · Pisa.",reference
"StangVglGramm","C. S. Stang, Vergleichende Grammatik der Bal-tischen Sprachen. Oslo-Bergen-Troms0 1966.",reference
"Steinbauer","s. Fassunke.",reference
"Stlr","Studia Iranica. Paris.",reference
"Stru","K. Strunk.",reference
"Stru, NuA","K. Strunk, Nasalpräsentien und Aoriste. Heidel-berg 1967.",reference
"Suśr","Suśruta.",reference
"SV","Sämaveda.",language
"Szem","0. Szemerenyi.",reference
"Szem, Sync","0. Szemerenyi, Syncope in Greek and lndo-European and the Nature of Indo-European Ac-cent. [Quaderni della Sezione Linguistica degli Annali, Istituto Orientale di Napoli, III]. Neapel 1964.",reference
"TA","Taittiriya-Ärimyaka.",language
"Ta.","Tamil.",language
"TB","Taittiriya-Brähmaoa.",language
"Ted","P. Tedesco.",reference
"Thi","P. Thieme.",reference
"Thi, KS","P. Thieme, Kleine Schriften. [Glasenapp-Stiftung Bd. S,1-2). Wiesbaden 1971.",reference
"Thi. MaA","P. Toieme, Mitra and Aryarnan. [Transactions of the Connecticut Academy of Arts and Sciences 41). New Haven (Conn.) 1957.",reference
"Thi. Studien","P. Thieme, Studien zur indogermanischen Won-kunde und Religionsgeschichte. [Berichte über die Verhandlungen der Sächsischen Akademie der W1SSenschaften zu Leipzig, phil.-hist. Klasse Bd. 98 Heft 5). Berlin 1952.",reference
"Thi, Unt","P. Toieme, Untersuchungen zur Wortkunde und Auslegung des Rigveda. [Hallische Monographien Nr. 7). Halle 1949.",reference
"Tischler","J. Tischler, Hethitisches etymologisches Glossar. [IBS Bd. 20]. Teil I (Innsbruck 1983) tf.",reference
"TLIE","Travaux de Linguistique indo-europeenne. Brüs-sel.",reference
"Toch.","Tocharisch.",language
"Toporov","V. I. Toporov, Prusskij Jazyk. Slovar'. A-0 [Bd. I], Moskau 1975, ff.",reference
"TPS","Transactions of the Philological Society. Oxford.",reference
"TS","Taittiriya-Sarhhitä.",language
"Tu","R. L. Turner, A Comparative Dictionary of the lndo-Aryan Languages. London-New York-To-ronto 1966. [Wird nach Nummern der Lemmata, nicht nach Seitenzahlen, zitiert].",reference
"TuAdd","R. L. Turner, A Comparative Dictionary of the lndo-Aryan Languages. Addenda and Corrigenda, ed. by J. C. Wright London 1985. (Zitierweise wie bei Tu).",reference
"Tucci, Report","G. Tucci, Preliminary Report on Two Scientific Expeditions in Nepal. (Serie Orientale Roma X, 1 ). Rom 1956.",report
"Uhl","C. C. Uhlenbeck, Kurzgefaßtes etymologisches Worterbuch der Altindischen Sprache. Amsterdam 1898/1899. [Nachdruck Osnabrück 1973].",reference
"Vāk","Vāk. Poona.",language
"Var 76","Varia 1976. [Acta lranica 12). Teheran-Lüttich-Leiden 1977.",reference
"Var 77","Varia 1977. (Acta Iranica 16]. Teheran-Lüttich-Leiden 1977.",reference
"Vasmer","M. Vasmer, Russisches etymologisches Wörter-buch. 3 Bde. Heidelberg 1953, 1955, 1958.",reference
"VBdh","Visvo(-]Bandhu [Sästri), A Vedic Word-Concor-dance. 5 Vois., sub-divided into sixteen Parts. Labore 1942-Hoshiarpur 1965.",reference
"Vd","Videvdät.",language
"VedStud","R. Pischel-K. Geldner, Vedische Studien. 3 Bde. Stuttgart 1889, 1892, 1901.",reference
"Verbum","Verbum. Revue de linguistique publiee par l'Uni-versite de Nancy II. Nancy.",journal
"VIJ","Vishveshvaranand lndological Journal. Hosbiar-pur.",journal
"VokDu","Vokativ Dual.",language
"VokPl","Vokativ Plural.",language
"VokSg","Vokativ Singular.",language
"VS","Viijasaneyi-Sarhhitä.",language
"VSGAJ","Voprosy sravnitel'noj grammatiki amtjanskogo jazyka / Hayoc• lezvi hamematakanowt'yon harc•er. Erevan 1979.",reference
"VWind","A. J. Van Windekens .",reference
"VWmdTokh","A. J. Van Windekens, Le Tokharien confronte avec les autres langues indo-europeennes. Vol. I, II, 1-2. (Travaux publies par Je Centre International de Dialectologie Generale de l'Universite catholique neerlandaise de Louvain Fase. XI-XIII]. Löwen 1976-1982.",language
"Wack","J. Wackernagel.",reference
"Wack, KS","J. Wackernagel, Kleine Schriften. 3 Bde. Göttingen 1953-1979.",reference
"Wack, Synt","J. Wackernagel, Vorlesungen über Syntax. 2 Reihen. Basel 1920, 1924.",reference
"Watk","C. Watkins.",reference
"WH","A. Walde, Lateinisches etymologisches Wörterbuch. Dritte, neubearbeitete Auflage von J. 8. Hofinann. 3 Bde. Heidelberg 1938, 1954, 1956.",reference
"WhiLanm","Atharva-Veda Sarhhitä, Translated . .. by W. D. Whitney, Revised and Edited by C. R. Lanman. [Harvard Oriental Series VII, VIII]. Cambridge (Mass.) 1905.",language
"Wlkander, Feuerpriester","S. Wikander, Feuerpriester in Kleinasien und Iran. [Acta Reg. Societatis Humaniorum Litterarum Lundensis XLJ. Lund 1946.",report
"Woj","0. Wojtilla",reference
"Word","Word. Journal of the International Linguistic Association. New York.",journal
"WP","A. Walde, Vergleichendes Wörterbuch der indogermanischen Sprachen. Herausgegeben und bearbeitet von J. Pokomy. 3 Bde. Berlin-Leipzig 1927, 1930, 1932 [Nachdruck Berlin 1973].",reference
"WuS","Wörter und Sachen. Kulturhistorische Zeitschrift für Sprach- und Sachforschung [bzw. N.F.: Zeitschrift für indogermanische Sprachwissenschaft, Volksforschung und Kulturgeschichte]. Heidelberg.",journal
"Wüst","W. Wust, Vergleichendes und etymologisches Wörterbuch des Alt-Indoarischen (Altindischen). 1. Teil; 2. Teil [bis S. 208]. [Indogermanische Bibliothek 1. Abteilung, 2. Reihe, 4). Heidelberg 1935.",reference
"Wüst, ApSt","W. Wüst, Altpersische Studien. Sprach- und kulturgeschichtliche Beiträge zum Glossar der Achämeniden-lnschriften. ('Pi'jµ« 8-11). München 1966.",report
"Wüst, pel","W. Wüst, Idg. ~~ 1/elcu-'Axt, Beil'. Eine paläolinguistische Studie. [Suomalaisen Tiedeakatemian Toimituksia B 93, 1). Helsinki 1956.",research
"Wüst, Stilg","W. Wüst, Stilgeschichte und Chronologie des ~gveda. (Abhandlungen für die Kunde des Morgenlandes XVII 4). Leipzig 1928.",research
"WZKM","Wiener Zeitschrift für die Kunde des Morgenlandes. Wien.",journal
"WZKS","Wiener Zeitschrift für die Kunde Südasiens [bis Bd. 13: Sild- und Ostasiens) und Archiv für indisehe Philosophie. Leiden-Köln-Wien.",journal
"WZUB","WtSSenschaftliche Zeitschrift der Humboldt-Universität zu Berlin. Gesellschafts- und sprachwissenschaftliche Reihe. Berlin.",journal
"Y","Yasna.",text
"Yājñ","Yājñavalkya-Smrti.",text
"Yt","Ya!t.",text
"ZCPh","Zeitschrift für Celtische Philologie. Zuletzt Tübingen.",journal
"ZDMG","Zeitschrift der Deutschen Morgenländischen Gesellschaft. Zuletzt Wiesbaden.",journal
"ZDMG-Suppl. III (1, 2)","Zeitschrift der Deutschen Morgenländischen Gesellschaft Supplement III, 1,2: XIX. Deutscher Orientalistentag vom 28. September bis 4. Oktober 1975 in Freiburg im Breisgau. Vorträge. Wiesbaden 1977.",journal
"ZII","Zeitschrift für Indologie und Iranistik. Leipzig.",journal
"ZimmerAiL","H. Zimmer, Altindisches Leben. Die Kultur der vedischen Arier. Berlin 1879.",book
"ZPSK","Zeitschrift für Phonetik, Sprachwissenschaft und Kommunikationsforschung. Berlin.",journal
"ZyskHealing","K. G. Zysk, Religious Healing in the Veda. With translations and annotations of medical hymns from the 8gveda and the Atharvaveda and renderings from the corresponding ritual texts. [Transactions of the American Philosophical Society Vol. 75, Part 7). Philadelphia 1985.",book
